time_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,speed_m_s,ax_m_s2,ay_m_s2,az_m_s2,a_mag_m_s2
0.000000,0.000000,0.000000,500.000000,148.824089,-9.499749,67.434789,163.665224,-12.037080,2.385977,-15.261211,19.582868
0.023834,3.543649,-0.225740,501.602906,148.537720,-9.442985,67.071516,163.251991,-11.993268,2.377293,-15.222504,19.524719
0.047668,7.080485,-0.450129,503.197164,148.252394,-9.386428,66.709163,162.840381,-11.949653,2.368647,-15.183988,19.466849
0.071502,10.610534,-0.673172,504.782797,147.968104,-9.330076,66.347726,162.430388,-11.906235,2.360041,-15.145662,19.409258
0.095336,14.133819,-0.894875,506.359826,147.684847,-9.273929,65.987201,162.022006,-11.863013,2.351474,-15.107524,19.351945
0.119170,17.650364,-1.115242,507.928273,147.402618,-9.217986,65.627581,161.615230,-11.819987,2.342945,-15.069574,19.294909
0.143004,21.160196,-1.334279,509.488160,147.121412,-9.162246,65.268864,161.210053,-11.777155,2.334455,-15.031811,19.238149
0.166838,24.663337,-1.551989,511.039509,146.841225,-9.106707,64.911045,160.806471,-11.734517,2.326003,-14.994234,19.181664
0.190671,28.159813,-1.768378,512.582339,146.562051,-9.051370,64.554120,160.404478,-11.692072,2.317590,-14.956842,19.125451
0.214505,31.649647,-1.983450,514.116673,146.283887,-8.996233,64.198083,160.004068,-11.649819,2.309214,-14.919635,19.069511
0.238339,35.132863,-2.197210,515.642532,146.006727,-8.941294,63.842931,159.605235,-11.607759,2.300877,-14.882611,19.013843
0.262173,38.609485,-2.409664,517.159937,145.730568,-8.886554,63.488659,159.207975,-11.565889,2.292578,-14.845770,18.958444
0.286007,42.079537,-2.620815,518.668909,145.455405,-8.832012,63.135263,158.812281,-11.524210,2.284316,-14.809111,18.903314
0.309841,45.543042,-2.830669,520.169468,145.181232,-8.777666,62.782739,158.418149,-11.482721,2.276092,-14.772633,18.848452
0.333675,49.000025,-3.039229,521.661635,144.908046,-8.723515,62.431082,158.025572,-11.441421,2.267906,-14.736335,18.793857
0.357509,52.450509,-3.246502,523.145431,144.635842,-8.669559,62.080288,157.634547,-11.400309,2.259757,-14.700216,18.739528
0.381343,55.894516,-3.452490,524.620877,144.364616,-8.615797,61.730352,157.245066,-11.359384,2.251645,-14.664276,18.685463
0.405177,59.332071,-3.657200,526.087993,144.094363,-8.562228,61.381272,156.857125,-11.318647,2.243570,-14.628514,18.631661
0.429011,62.763196,-3.860635,527.546799,143.825079,-8.508850,61.033041,156.470719,-11.278096,2.235532,-14.592928,18.578121
0.452845,66.187914,-4.062800,528.997315,143.556759,-8.455664,60.685656,156.085842,-11.237730,2.227531,-14.557518,18.524843
