distance,wind_magnitude,wind_direction,muzzle_velocity,elevation,azimuth,error
1000,0.0,0,142.66079871023652,24.85109430722243,6.426285252738658e-07,1.2389841005130267e-05
1000,2.5,0,141.4431618860362,24.99501146858702,-1.2402883583793589e-06,2.174265600465165e-05
1000,5.0,0,141.04489708663294,24.64970312790281,-1.6931857776437524e-06,3.331571658591417e-05
1000,7.5,0,193.67414195979677,10.554968154712531,2.1655668656332715e-06,4.224803201883532e-05
1000,10.0,0,140.01846506255956,24.165144650395916,-3.879097793285887e-06,6.628020196674177e-05
1000,0.0,30,142.66079871023652,24.85109430722243,6.426285252738658e-07,1.2389841005130267e-05
1000,2.5,30,141.59627685549597,24.983012581116107,-0.2189097299006369,3.062782776613749e-05
1000,5.0,30,193.82564334286684,10.643595538069611,-0.21101565884660006,1.5835314906738984e-05
1000,7.5,30,193.66026621186705,10.591157252652907,-0.31339237169985734,5.261483063096481e-06
1000,10.0,30,140.35812167048823,24.26813890398923,-0.8306264452056381,2.9079796733369758e-06
1000,0.0,60,142.66079871023652,24.85109430722243,6.426285252738658e-07,1.2389841005130267e-05
1000,2.5,60,142.315789334264,24.763917918276608,-0.377632095551983,1.294561080246851e-05
1000,5.0,60,141.5317632661486,24.954120216751345,-0.7568548662717398,3.7658411806358176e-05
1000,7.5,60,191.44485689863666,10.975174804733628,-0.562847349514242,4.9253844841176595e-05
1000,10.0,60,141.30603261448198,24.548722528582356,-1.4788764189529624,2.089345715046926e-05
1000,0.0,90,142.66079871023652,24.85109430722243,6.426285252738658e-07,1.2389841005130267e-05
1000,2.5,90,142.68165013396793,24.842596957695022,-0.4394467583452355,3.2669798451653266e-05
1000,5.0,90,142.74532847604408,24.816398956168463,-0.8784754978226901,2.686043992455811e-05
1000,7.5,90,142.8245464685528,24.789429624084168,-1.3174486686290219,5.272040095100708e-06
1000,10.0,90,142.97269902793997,24.7284513536462,-1.7545957431329622,2.9093201217825287e-06
1000,0.0,120,142.66079871023652,24.85109430722243,6.426285252738658e-07,1.2389841005130267e-05
1000,2.5,120,143.08696508152508,24.897776436910796,-0.3831337790883202,2.514884833798416e-05
1000,5.0,120,143.52487449453784,24.946388682080862,-0.7714260637736783,3.4846424244577254e-06
1000,7.5,120,143.98030266936894,24.993046198814184,-1.1649068131681415,2.285344569677149e-05
1000,10.0,120,145.16890856402017,24.568254277085423,-1.5365830034378505,8.019681868015397e-06
1000,0.0,150,142.66079871023652,24.85109430722243,6.426285252738658e-07,1.2389841005130267e-05
1000,2.5,150,194.020305607321,10.851956842086999,-0.10911486095308146,7.775760450502742e-06
1000,5.0,150,144.33511604861104,24.88649606563001,-0.44717375311093194,2.3648636805980985e-05
1000,7.5,150,145.5682744998487,24.653913946869103,-0.6699561891189256,1.5072365064700692e-05
1000,10.0,150,187.97391122899964,11.993219442831155,-0.4816153688135424,4.013563560945942e-05
1000,0.0,180,142.66079871023652,24.85109430722243,6.426285252738658e-07,1.2389841005130267e-05
1000,2.5,180,143.44466804590732,24.9844096548349,1.8243345940178694e-06,3.7800724762857514e-05
1000,5.0,180,144.43503199838855,24.993553129215712,-7.832224693710071e-08,2.88989068621444e-06
1000,7.5,180,145.56552159529204,24.917721545660452,-1.3509818560882802e-06,2.4152906821759558e-05
1000,10.0,180,146.59184693588094,24.935507366161133,-2.239002541057357e-07,4.088633844717447e-06
1100,0.0,0,151.8612858857797,24.9998197862332,-3.597231466473511e-08,5.158146660903795e-06
1100,2.5,0,150.86011679822656,24.97334838601029,-1.3172240260619492e-06,2.545385034483482e-05
1100,5.0,0,149.89135947379404,24.936005931728243,-1.8550888849610105e-06,3.5349729502507586e-05
1100,7.5,0,148.7568561937136,25.0,-3.068659862395483e-08,7.876853765062453e-07
1100,10.0,0,194.6620733732852,11.910803251789435,-8.285870929200552e-07,2.5076936712087472e-05
1100,0.0,30,151.8612858857797,24.9998197862332,-3.597231466473511e-08,5.158146660903795e-06
1100,2.5,30,150.98992956709836,24.9799161755067,-0.22323139304992043,5.106624159034794e-05
1100,5.0,30,150.1564844631682,24.946536073445483,-0.44249795938134767,5.152291399352936e-05
1100,7.5,30,194.65126366531175,12.067067667668523,-0.3556628723535101,2.093843639173333e-05
1100,10.0,30,148.36521950460573,24.97119907409581,-0.8713225297023396,1.600099062153357e-05
1100,0.0,60,151.8612858857797,24.9998197862332,-3.597231466473511e-08,5.158146660903795e-06
1100,2.5,60,151.3805414963055,24.975717941139635,-0.3878436506992036,5.640700450511537e-05
