distance,wind_magnitude,wind_direction,muzzle_velocity,elevation,azimuth,error
1000,0.0,0,148.88868201268167,24.9717633708687,4.1212036244047815e-07,7.952061599097425e-06
1000,2.5,0,194.64005952792888,11.465625510236203,9.677556706604028e-07,1.6831102985679682e-05
1000,5.0,0,146.40890262863527,24.994352707994583,-1.6285766425767044e-06,2.8118777616815904e-05
1000,7.5,0,145.2043012122327,24.99628454039924,2.039770971678543e-06,3.4910637034635406e-05
1000,10.0,0,144.15437416829192,24.917104560193216,2.8477558209473906e-06,4.869647805003991e-05
1000,0.0,30,148.88868201268167,24.9717633708687,4.1212036244047815e-07,7.952061599097425e-06
1000,2.5,30,193.4150418572882,11.658786809878775,-0.1349690196050668,1.6415082533734863e-05
1000,5.0,30,146.78922652856153,24.965968410717796,-0.5090695379223459,1.2126544755320228e-05
1000,7.5,30,192.73309635470386,11.542154665463164,-0.3968690882181485,6.864477040341688e-06
1000,10.0,30,144.7915693806478,24.937815205872447,-0.9987671332187539,6.4370583594835855e-06
1000,0.0,60,148.88868201268167,24.9717633708687,4.1212036244047815e-07,7.952061599097425e-06
1000,2.5,60,193.16684883372076,11.743130748498892,-0.2357422891614099,9.02229404393032e-06
1000,5.0,60,194.6388160358553,11.467726106463696,-0.46106170736344804,1.6617383885952937e-06
1000,7.5,60,147.31702423758932,24.848653297261112,-1.3216289490959638,3.2022753776464605e-05
1000,10.0,60,191.99737837989298,11.729187138738336,-0.9330114449966831,1.1761173675609586e-05
1000,0.0,90,148.88868201268167,24.9717633708687,4.1212036244047815e-07,7.952061599097425e-06
1000,2.5,90,149.14324875245245,24.814161206804087,-0.514952070128195,1.3438450521190663e-05
1000,5.0,90,149.34400187904208,24.704598690815427,-1.026321084614972,3.164761670596208e-05
1000,7.5,90,149.64555291917605,24.544472837327813,-1.5317344223494236,5.466251235678482e-07
1000,10.0,90,149.92925532106986,24.408600411408056,-2.034360707311347,1.9528438856855583e-05
1000,0.0,120,148.88868201268167,24.9717633708687,4.1212036244047815e-07,7.952061599097425e-06
1000,2.5,120,149.7456105012937,24.821450193091973,-0.44808454030366796,2.1684544368563198e-05
1000,5.0,120,150.29478751268104,24.887040456635123,-0.9026507546367324,2.8380114622101595e-06
1000,7.5,120,151.1327016004662,24.780708543785735,-1.355526556788293,1.1167356625748663e-05
1000,10.0,120,151.58542952306442,24.95125824720528,-1.8281006466026597,1.8051735401810422e-05
1000,0.0,150,148.88868201268167,24.9717633708687,4.1212036244047815e-07,7.952061599097425e-06
1000,2.5,150,150.13268458302528,24.864610936670427,-0.2599390775819222,2.83418425974516e-05
1000,5.0,150,151.38551593929694,24.774674878029526,-0.5222560600432645,1.7054246591508805e-05
1000,7.5,150,195.43270509521454,11.830314136259867,-0.41968131152899424,1.3240122176873775e-05
1000,10.0,150,153.57854689402475,24.890937271904424,-1.0654592427962368,1.621242641772401e-05
1000,0.0,180,148.88868201268167,24.9717633708687,4.1212036244047815e-07,7.952061599097425e-06
1000,2.5,180,150.29300305825532,24.868951046073597,1.2733366664152051e-06,2.2519203143298355e-05
1000,5.0,180,151.46094952585761,24.953061196196405,-5.334788671452286e-07,1.0396412875646024e-05
1000,7.5,180,195.41505060580175,11.889347031267429,-2.0825122222352194e-06,3.691974162320768e-05
1000,10.0,180,154.16029388315224,24.983973411426344,1.1038269953276746e-06,2.020729472786128e-05
1100,0.0,0,159.32788221324904,24.969684412175052,-1.1454534839726528e-07,2.6317863974133665e-06
1100,2.5,0,196.14135432698532,13.187214695356866,-4.087166135637276e-07,8.210402780791466e-06
1100,5.0,0,156.72892884440543,24.91361878572553,7.94581902754447e-07,1.5279112494096433e-05
1100,7.5,0,155.5312632669463,24.869443193697062,-1.5194052752169963e-06,2.898859988550143e-05
1100,10.0,0,154.42872276602324,24.785146952903403,4.6910807772217474e-07,1.0438367352364879e-05
1100,0.0,30,159.32788221324904,24.969684412175052,-1.1454534839726528e-07,2.6317863974133665e-06
1100,2.5,30,196.15336862185285,13.208611298254848,-0.1525352577132027,3.2055597730577827e-05
1100,5.0,30,196.0424225098809,13.08059549362356,-0.30086763108397097,9.21321985890969e-06
1100,7.5,30,156.16193557882417,24.810274861474163,-0.7684630053011738,3.891558354537414e-06
1100,10.0,30,195.80350011344825,12.844615883915004,-0.5859174203289825,1.029320563441116e-05
1100,0.0,60,159.32788221324904,24.969684412175052,-1.1454534839726528e-07,2.6317863974133665e-06
1100,2.5,60,196.1995762886455,13.26535330379063,-0.2658100019365219,7.849639560807528e-06
1100,5.0,60,196.09380627537405,13.198119541274762,-0.5276812528261771,1.7793783459876402e-05
1100,7.5,60,196.07091934768647,13.120046129926179,-0.785208560938596,1.8198176636153032e-05
1100,10.0,60,196.00816160891526,13.051820771015954,-1.0393219262176066,1.8294949360570668e-05
1100,0.0,90,159.32788221324904,24.969684412175052,-1.1454534839726528e-07,2.6317863974133665e-06
1100,2.5,90,196.2808576160514,13.341069134976562,-0.309432942689771,7.3804268710885135e-06
1100,5.0,90,196.3189521156746,13.337410641538785,-0.6188695927432794,1.0576946752541085e-05
1100,7.5,90,196.2438045384103,13.355439239752224,-0.9296817127222177,1.513603425749702e-05
1100,10.0,90,196.23568748726942,13.363807872162065,-1.240872019058528,6.8613775211070516e-06
1100,0.0,120,159.32788221324904,24.969684412175052,-1.1454534839726528e-07,2.6317863974133665e-06
1100,2.5,120,196.3393241900713,13.422342836031676,-0.27023436314744825,8.810548461892302e-06
1100,5.0,120,160.83150688989775,24.93933938618319,-0.9210071317708589,1.852668783630952e-05
