T_C,RH_pct,P_Pa,rho_kg_m3
0.0,0.0,80000.0,1.0203078568519557
0.0,20.0,80000.0,1.019718938191374
0.0,40.0,80000.0,1.0191300195307924
0.0,60.0,80000.0,1.018541100870211
0.0,80.0,80000.0,1.0179521822096294
0.0,100.0,80000.0,1.0173632635490477
5.0,0.0,80000.0,1.0019668923210918
5.0,20.0,80000.0,1.001140949929005
5.0,40.0,80000.0,1.0003150075369183
5.0,60.0,80000.0,0.9994890651448315
5.0,80.0,80000.0,0.9986631227527447
5.0,100.0,80000.0,0.9978371803606578
10.0,0.0,80000.0,0.9842736750807406
10.0,20.0,80000.0,0.983131517378703
10.0,40.0,80000.0,0.9819893596766655
10.0,60.0,80000.0,0.9808472019746278
10.0,80.0,80000.0,0.9797050442725903
10.0,100.0,80000.0,0.9785628865705528
15.0,0.0,80000.0,0.9671944858549772
15.0,20.0,80000.0,0.9656358256971128
15.0,40.0,80000.0,0.9640771655392485
15.0,60.0,80000.0,0.9625185053813842
15.0,80.0,80000.0,0.9609598452235198
15.0,100.0,80000.0,0.9594011850656554
20.0,0.0,80000.0,0.9506979058472169
20.0,20.0,80000.0,0.9485972043513348
20.0,40.0,80000.0,0.9464965028554527
20.0,60.0,80000.0,0.9443958013595706
20.0,80.0,80000.0,0.9422950998636888
20.0,100.0,80000.0,0.9401943983678066
25.0,0.0,80000.0,0.9347546238440773
25.0,20.0,80000.0,0.9319564326981168
25.0,40.0,80000.0,0.9291582415521564
25.0,60.0,80000.0,0.926360050406196
25.0,80.0,80000.0,0.9235618592602354
25.0,100.0,80000.0,0.920763668114275
30.0,0.0,80000.0,0.9193372624084171
30.0,20.0,80000.0,0.9156510563343823
30.0,40.0,80000.0,0.9119648502603476
30.0,60.0,80000.0,0.9082786441863128
30.0,80.0,80000.0,0.904592438112278
30.0,100.0,80000.0,0.9009062320382433
35.0,0.0,80000.0,0.9044202209933851
35.0,20.0,80000.0,0.8996147187623167
35.0,40.0,80000.0,0.8948092165312483
35.0,60.0,80000.0,0.89000371430018
35.0,80.0,80000.0,0.8851982120691115
35.0,100.0,80000.0,0.8803927098380431
40.0,0.0,80000.0,0.8899795340862579
40.0,20.0,80000.0,0.8837765133620634
40.0,40.0,80000.0,0.8775734926378687
40.0,60.0,80000.0,0.8713704719136742
40.0,80.0,80000.0,0.8651674511894797
40.0,100.0,80000.0,0.858964430465285
0.0,0.0,85000.0,1.0840770979052028
0.0,20.0,85000.0,1.0834881792446212
0.0,40.0,85000.0,1.0828992605840397
0.0,60.0,85000.0,1.082310341923458
0.0,80.0,85000.0,1.0817214232628767
0.0,100.0,85000.0,1.081132504602295
5.0,0.0,85000.0,1.0645898230911601
5.0,20.0,85000.0,1.0637638806990732
5.0,40.0,85000.0,1.0629379383069866
5.0,60.0,85000.0,1.0621119959148997
5.0,80.0,85000.0,1.061286053522813
5.0,100.0,85000.0,1.060460111130726
10.0,0.0,85000.0,1.0457907797732868
10.0,20.0,85000.0,1.0446486220712494
10.0,40.0,85000.0,1.0435064643692116
10.0,60.0,85000.0,1.0423643066671742
10.0,80.0,85000.0,1.0412221489651365
10.0,100.0,85000.0,1.040079991263099
15.0,0.0,85000.0,1.0276441412209134
15.0,20.0,85000.0,1.0260854810630489
15.0,40.0,85000.0,1.0245268209051848
15.0,60.0,85000.0,1.0229681607473202
15.0,80.0,85000.0,1.021409500589456
15.0,100.0,85000.0,1.0198508404315916
20.0,0.0,85000.0,1.010116524962668
20.0,20.0,85000.0,1.008015823466786
20.0,40.0,85000.0,1.0059151219709037
20.0,60.0,85000.0,1.0038144204750217
20.0,80.0,85000.0,1.0017137189791396
20.0,100.0,85000.0,0.9996130174832576
25.0,0.0,85000.0,0.993176787834332
25.0,20.0,85000.0,0.9903785966883717
25.0,40.0,85000.0,0.9875804055424112
25.0,60.0,85000.0,0.9847822143964508
25.0,80.0,85000.0,0.9819840232504904
25.0,100.0,85000.0,0.9791858321045298
30.0,0.0,85000.0,0.9767958413089431
30.0,20.0,85000.0,0.9731096352349082
30.0,40.0,85000.0,0.9694234291608737
30.0,60.0,85000.0,0.9657372230868388
30.0,80.0,85000.0,0.962051017012804
30.0,100.0,85000.0,0.9583648109387694
35.0,0.0,85000.0,0.9609464848054717
35.0,20.0,85000.0,0.9561409825744033
35.0,40.0,85000.0,0.9513354803433349
35.0,60.0,85000.0,0.9465299781122665
35.0,80.0,85000.0,0.9417244758811981
35.0,100.0,85000.0,0.9369189736501297
40.0,0.0,85000.0,0.945603254966649
40.0,20.0,85000.0,0.9394002342424546
40.0,40.0,85000.0,0.9331972135182598
40.0,60.0,85000.0,0.9269941927940654
40.0,80.0,85000.0,0.9207911720698707
40.0,100.0,85000.0,0.9145881513456762
0.0,0.0,90000.0,1.1478463389584501
0.0,20.0,90000.0,1.1472574202978685
0.0,40.0,90000.0,1.1466685016372868
0.0,60.0,90000.0,1.1460795829767054
0.0,80.0,90000.0,1.145490664316124
0.0,100.0,90000.0,1.1449017456555421
5.0,0.0,90000.0,1.1272127538612282
5.0,20.0,90000.0,1.1263868114691413
5.0,40.0,90000.0,1.1255608690770547
5.0,60.0,90000.0,1.124734926684968
5.0,80.0,90000.0,1.1239089842928813
5.0,100.0,90000.0,1.1230830419007942
10.0,0.0,90000.0,1.107307884465833
10.0,20.0,90000.0,1.1061657267637957
10.0,40.0,90000.0,1.1050235690617578
10.0,60.0,90000.0,1.1038814113597204
10.0,80.0,90000.0,1.1027392536576828
10.0,100.0,90000.0,1.1015970959556454
15.0,0.0,90000.0,1.0880937965868493
15.0,20.0,90000.0,1.086535136428985
15.0,40.0,90000.0,1.0849764762711207
15.0,60.0,90000.0,1.0834178161132562
15.0,80.0,90000.0,1.081859155955392
15.0,100.0,90000.0,1.0803004957975275
20.0,0.0,90000.0,1.0695351440781191
20.0,20.0,90000.0,1.067434442582237
20.0,40.0,90000.0,1.0653337410863548
20.0,60.0,90000.0,1.0632330395904728
20.0,80.0,90000.0,1.0611323380945907
20.0,100.0,90000.0,1.0590316365987087
25.0,0.0,90000.0,1.051598951824587
25.0,20.0,90000.0,1.0488007606786265
25.0,40.0,90000.0,1.046002569532666
25.0,60.0,90000.0,1.0432043783867055
25.0,80.0,90000.0,1.0404061872407453
25.0,100.0,90000.0,1.0376079960947846
30.0,0.0,90000.0,1.0342544202094692
30.0,20.0,90000.0,1.0305682141354344
30.0,40.0,90000.0,1.0268820080613996
30.0,60.0,90000.0,1.023195801987365
30.0,80.0,90000.0,1.01950959591333
30.0,100.0,90000.0,1.0158233898392954
35.0,0.0,90000.0,1.0174727486175583
35.0,20.0,90000.0,1.01266724638649
35.0,40.0,90000.0,1.0078617441554214
35.0,60.0,90000.0,1.003056241924353
35.0,80.0,90000.0,0.9982507396932846
35.0,100.0,90000.0,0.9934452374622162
40.0,0.0,90000.0,1.00122697584704
40.0,20.0,90000.0,0.9950239551228456
40.0,40.0,90000.0,0.9888209343986509
40.0,60.0,90000.0,0.9826179136744565
40.0,80.0,90000.0,0.9764148929502618
40.0,100.0,90000.0,0.9702118722260673
0.0,0.0,95000.0,1.2116155800116974
0.0,20.0,95000.0,1.2110266613511156
0.0,40.0,95000.0,1.2104377426905342
0.0,60.0,95000.0,1.2098488240299525
0.0,80.0,95000.0,1.2092599053693711
0.0,100.0,95000.0,1.2086709867087895
5.0,0.0,95000.0,1.1898356846312965
5.0,20.0,95000.0,1.1890097422392096
5.0,40.0,95000.0,1.188183799847123
5.0,60.0,95000.0,1.187357857455036
5.0,80.0,95000.0,1.1865319150629494
5.0,100.0,95000.0,1.1857059726708623
10.0,0.0,95000.0,1.1688249891583795
10.0,20.0,95000.0,1.1676828314563419
10.0,40.0,95000.0,1.1665406737543043
10.0,60.0,95000.0,1.1653985160522666
10.0,80.0,95000.0,1.1642563583502292
10.0,100.0,95000.0,1.1631142006481916
15.0,0.0,95000.0,1.1485434519527855
15.0,20.0,95000.0,1.146984791794921
15.0,40.0,95000.0,1.1454261316370569
15.0,60.0,95000.0,1.1438674714791923
15.0,80.0,95000.0,1.142308811321328
15.0,100.0,95000.0,1.1407501511634637
20.0,0.0,95000.0,1.12895376319357
20.0,20.0,95000.0,1.126853061697688
20.0,40.0,95000.0,1.1247523602018057
20.0,60.0,95000.0,1.1226516587059236
20.0,80.0,95000.0,1.1205509572100418
20.0,100.0,95000.0,1.1184502557141598
25.0,0.0,95000.0,1.1100211158148419
25.0,20.0,95000.0,1.1072229246688812
25.0,40.0,95000.0,1.104424733522921
25.0,60.0,95000.0,1.1016265423769604
25.0,80.0,95000.0,1.098828351231
25.0,100.0,95000.0,1.0960301600850395
30.0,0.0,95000.0,1.0917129991099952
30.0,20.0,95000.0,1.0880267930359604
30.0,40.0,95000.0,1.0843405869619258
30.0,60.0,95000.0,1.080654380887891
30.0,80.0,95000.0,1.0769681748138562
30.0,100.0,95000.0,1.0732819687398214
35.0,0.0,95000.0,1.0739990124296448
35.0,20.0,95000.0,1.0691935101985766
35.0,40.0,95000.0,1.064388007967508
35.0,60.0,95000.0,1.0595825057364396
35.0,80.0,95000.0,1.0547770035053714
35.0,100.0,95000.0,1.0499715012743027
40.0,0.0,95000.0,1.0568506967274311
40.0,20.0,95000.0,1.0506476760032368
40.0,40.0,95000.0,1.044444655279042
40.0,60.0,95000.0,1.0382416345548475
40.0,80.0,95000.0,1.032038613830653
40.0,100.0,95000.0,1.0258355931064584
0.0,0.0,100000.0,1.2753848210649446
0.0,20.0,100000.0,1.274795902404363
0.0,40.0,100000.0,1.2742069837437813
0.0,60.0,100000.0,1.2736180650831999
0.0,80.0,100000.0,1.2730291464226184
0.0,100.0,100000.0,1.2724402277620366
5.0,0.0,100000.0,1.2524586154013648
5.0,20.0,100000.0,1.251632673009278
