time_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,speed_m_s,ax_m_s2,ay_m_s2,az_m_s2,a_mag_m_s2
0.000000,0.000000,0.000000,500.000000,152.141658,-10.404544,68.817199,167.305545,-13.226447,2.643221,-15.789629,20.766268
0.024029,3.652043,-0.249252,501.649074,151.824420,-10.341146,68.438295,166.857406,-13.177853,2.633510,-15.747215,20.701835
0.048059,7.296476,-0.496983,503.289056,151.508347,-10.277981,68.060408,166.411043,-13.129457,2.623839,-15.705000,20.637688
0.072088,10.933329,-0.743199,504.919969,151.193435,-10.215048,67.683533,165.966451,-13.081259,2.614206,-15.662981,20.573827
0.096117,14.562628,-0.987905,506.541839,150.879679,-10.152345,67.307666,165.523622,-13.033258,2.604614,-15.621157,20.510251
0.120146,18.184402,-1.231108,508.154689,150.567074,-10.089873,66.932801,165.082552,-12.985455,2.595061,-15.579529,20.446959
0.144176,21.798678,-1.472812,509.758543,150.255615,-10.027630,66.558934,164.643235,-12.937848,2.585547,-15.538096,20.383950
0.168205,25.405484,-1.713023,511.353425,149.945298,-9.965615,66.186061,164.205665,-12.890438,2.576072,-15.496857,20.321223
0.192234,29.004846,-1.951747,512.939359,149.636117,-9.903827,65.814176,163.769836,-12.843224,2.566637,-15.455811,20.258779
0.216264,32.596793,-2.188989,514.516369,149.328069,-9.842266,65.443275,163.335742,-12.796205,2.557240,-15.414958,20.196615
0.240293,36.181351,-2.424755,516.084478,149.021148,-9.780930,65.073353,162.903378,-12.749381,2.547883,-15.374297,20.134732
0.264322,39.758547,-2.659049,517.643710,148.715350,-9.719818,64.704406,162.472737,-12.702753,2.538564,-15.333827,20.073129
0.288352,43.328409,-2.891877,519.194088,148.410670,-9.658930,64.336429,162.043815,-12.656318,2.529285,-15.293548,20.011804
0.312381,46.890963,-3.123245,520.735636,148.107104,-9.598264,63.969418,161.616606,-12.610078,2.520044,-15.253459,19.950757
0.336410,50.446236,-3.353158,522.268376,147.804646,-9.537820,63.603368,161.191104,-12.564030,2.510842,-15.213560,19.889987
0.360439,53.994254,-3.581621,523.792331,147.503293,-9.477596,63.238275,160.767302,-12.518176,2.501678,-15.173849,19.829494
0.384469,57.535044,-3.808639,525.307525,147.203039,-9.417592,62.874133,160.345197,-12.472515,2.492553,-15.134326,19.769276
0.408498,61.068633,-4.034219,526.813981,146.903880,-9.357807,62.510939,159.924782,-12.427045,2.483466,-15.094990,19.709332
0.432527,64.595046,-4.258364,528.311720,146.605811,-9.298240,62.148688,159.506051,-12.381767,2.474418,-15.055841,19.649663
0.456557,68.114310,-4.481081,529.800766,146.308828,-9.238890,61.787375,159.089000,-12.336681,2.465407,-15.016878,19.590267
0.480586,71.626450,-4.702374,531.281141,146.012926,-9.179756,61.426996,158.673622,-12.291785,2.456435,-14.978100,19.531142
0.504615,75.131493,-4.922249,532.752868,145.718101,-9.120837,61.067547,158.259912,-12.247079,2.447501,-14.939506,19.472290
0.528644,78.629464,-5.140710,534.215969,145.424347,-9.062132,60.709023,157.847865,-12.202563,2.438605,-14.901097,19.413707
0.552674,82.120390,-5.357763,535.670465,145.131661,-9.003640,60.351420,157.437475,-12.158237,2.429746,-14.862870,19.355395
0.576703,85.604295,-5.573414,537.116380,144.840038,-8.945361,59.994733,157.028737,-12.114099,2.420926,-14.824826,19.297351
0.600732,89.081206,-5.787667,538.553735,144.549473,-8.887294,59.638958,156.621645,-12.070149,2.412143,-14.786964,19.239575
0.624762,92.551147,-6.000526,539.982551,144.259962,-8.829437,59.284091,156.216193,-12.026388,2.403397,-14.749282,19.182066
0.648791,96.014144,-6.211999,541.402851,143.971500,-8.771790,58.930127,155.812378,-11.982813,2.394689,-14.711781,19.124823
0.672820,99.470222,-6.422088,542.814657,143.684084,-8.714351,58.577062,155.410193,-11.939426,2.386018,-14.674460,19.067846
